Car_id,Date,Gender,Dealer_Name,Dealer_Region,Company,Model,Body Style,Color,Transmission,Engine,Annual Income,Price ($),Dealer_No ,Phone,
C_CND_013441,5/6/2023,Female,New Castle Ford Lincoln Mercury,Aurora,Nissan,Maxima,Sedan,Red,Manual,Overhead Camshaft,5075000,16500,60504-7114,6906467,
C_CND_015141,6/23/2023,Male,Hatfield Volkswagen,Pasco,Ford,F-Series,Passenger,Pale White,Manual,Overhead Camshaft,5050000,13001,99301-3882,6606801,
C_CND_017130,8/26/2023,Male,Rabun Used Car Sales,Austin,Cadillac,Eldorado,Passenger,Black,Manual,Overhead Camshaft,5046000,85601,85257-3102,6296288,
C_CND_015612,7/8/2023,Male,Suburban Ford,Janesville,Honda,Accord,Sedan,Pale White,Manual,Overhead Camshaft,5020000,14000,53546-9427,6815752,
C_CND_016738,8/15/2023,Female,Buddy Storbeck's Diesel Service Inc,Middletown,Ford,Windstar,Sedan,Red,Auto,DoubleÂ Overhead Camshaft,5000000,31001,06457-3834,8763305,
C_CND_013526,5/8/2023,Female,Saab-Belle Dodge,Aurora,Saturn,SL,SUV,Red,Auto,DoubleÂ Overhead Camshaft,4980000,22000,60504-7114,6733764,
C_CND_013661,5/14/2023,Female,Progressive Shippers Cooperative Association No,Janesville,Chevrolet,Malibu,Hardtop,Pale White,Manual,Overhead Camshaft,4940000,41000,53546-9427,6042944,
C_CND_003130,6/11/2022,Male,McKinney Dodge Chrysler Jeep,Janesville,BMW,528i,SUV,Red,Manual,Overhead Camshaft,4900000,25000,85257-3102,7662049,
C_CND_011551,3/1/2023,Male,Pars Auto Sales,Greenville,Hyundai,Sonata,SUV,Black,Manual,Overhead Camshaft,4850000,15001,38701-8047,7226597,
C_CND_003908,7/12/2022,Male,Rabun Used Car Sales,Scottsdale,Ford,Ranger,Hardtop,Black,Manual,Overhead Camshaft,4802500,25251,85257-3102,8643944,
C_CND_018531,9/19/2023,Male,Rabun Used Car Sales,Scottsdale,Dodge,Ram Pickup,SUV,Red,Auto,DoubleÂ Overhead Camshaft,4800000,57000,85257-3102,6040376,
C_CND_002286,5/7/2022,Male,Rabun Used Car Sales,Austin,Infiniti,I30,Hatchback,Black,Auto,DoubleÂ Overhead Camshaft,4760000,21000,85257-3102,7688344,
C_CND_002759,5/29/2022,Male,Iceberg Rentals,Janesville,Volkswagen,Passat,Hatchback,Red,Manual,Overhead Camshaft,4750000,20000,53546-9427,7503337,
C_CND_000882,3/13/2022,Male,Tri-State Mack Inc,Scottsdale,Chrysler,300M,SUV,Pale White,Auto,DoubleÂ Overhead Camshaft,4735000,22500,85257-3102,8680832,
C_CND_009106,12/3/2022,Male,Chrysler Plymouth,Janesville,Mercedes-B,SLK,Passenger,Pale White,Manual,Overhead Camshaft,4700000,17001,53546-9427,8789337,
C_CND_013200,4/28/2023,Male,Clay Johnson Auto Sales,Austin,Mitsubishi,Diamante,Hatchback,Black,Auto,DoubleÂ Overhead Camshaft,4700000,17000,78758-7841,6031376,
C_CND_017785,9/5/2023,Female,Motor Vehicle Branch Office,Austin,Volkswagen,Cabrio,Sedan,Pale White,Auto,DoubleÂ Overhead Camshaft,4700000,17000,78758-7841,7240247,
C_CND_006997,10/18/2022,Male,Scrivener Performance Engineering,Greenville,Chrysler,Concorde,Hardtop,Black,Auto,DoubleÂ Overhead Camshaft,4690000,12001,38701-8047,8581990,
C_CND_014496,6/6/2023,Male,Diehl Motor CO Inc,Middletown,Hyundai,Elantra,Sedan,Pale White,Manual,Overhead Camshaft,4620000,22001,06457-3834,7891708,
C_CND_004830,8/23/2022,Female,Scrivener Performance Engineering,Greenville,Volkswagen,Jetta,Passenger,Red,Auto,DoubleÂ Overhead Camshaft,4600000,69000,38701-8047,8183396,
C_CND_017703,9/5/2023,Male,Chrysler of Tri-Cities,Pasco,Mercedes-B,E-Class,Sedan,Pale White,Auto,DoubleÂ Overhead Camshaft,4600000,31001,99301-3882,7745488,
C_CND_012586,4/8/2023,Male,Race Car Help,Austin,Toyota,RAV4,Hatchback,Black,Auto,DoubleÂ Overhead Camshaft,4600000,28000,78758-7841,8716936,
C_CND_005345,9/7/2022,Female,Saab-Belle Dodge,Aurora,Mercury,Villager,Passenger,Pale White,Manual,Overhead Camshaft,4600000,14000,60504-7114,8820977,
C_CND_023322,12/22/2023,Male,Saab-Belle Dodge,Aurora,Dodge,Caravan,Hardtop,Black,Auto,DoubleÂ Overhead Camshaft,4525000,23500,60504-7114,7765910,
C_CND_013393,5/5/2023,Male,Buddy Storbeck's Diesel Service Inc,Middletown,Acura,TL,Hatchback,Red,Auto,DoubleÂ Overhead Camshaft,4525000,16500,06457-3834,8700596,
C_CND_018488,9/18/2023,Male,Classic Chevy,Scottsdale,Toyota,Corolla,Passenger,Red,Auto,DoubleÂ Overhead Camshaft,4515000,41500,85257-3102,7502741,
C_CND_012229,3/24/2023,Female,C & M Motors Inc,Aurora,Dodge,Durango,SUV,Pale White,Manual,Overhead Camshaft,4501000,27100,60504-7114,7641687,
C_CND_021044,11/14/2023,Male,Star Enterprises Inc,Pasco,Ford,Mustang,Hatchback,Pale White,Manual,Overhead Camshaft,4500000,25001,99301-3882,8445355,
C_CND_002647,5/25/2022,Male,Motor Vehicle Branch Office,Austin,Toyota,Land Cruiser,SUV,Black,Auto,DoubleÂ Overhead Camshaft,4500000,21000,78758-7841,8825544,
C_CND_002854,5/31/2022,Female,Scrivener Performance Engineering,Greenville,Chrysler,Concorde,Hatchback,Black,Manual,Overhead Camshaft,4500000,18000,38701-8047,6240903,
C_CND_002079,4/28/2022,Female,Progressive Shippers Cooperative Association No,Janesville,Porsche,Carrera Cabrio,Passenger,Black,Manual,Overhead Camshaft,4440000,22000,53546-9427,6489230,
C_CND_011391,2/16/2023,Male,Capitol KIA,Pasco,Cadillac,Escalade,Sedan,Black,Auto,DoubleÂ Overhead Camshaft,4400000,26001,38701-8047,6765958,
C_CND_009175,12/4/2022,Female,Suburban Ford,Janesville,Jeep,Wrangler,Hatchback,Black,Auto,DoubleÂ Overhead Camshaft,4375000,60500,53546-9427,7134649,
C_CND_002794,5/30/2022,Male,New Castle Ford Lincoln Mercury,Aurora,Buick,Park Avenue,Hatchback,Pale White,Auto,DoubleÂ Overhead Camshaft,4350000,62000,60504-7114,8614385,
C_CND_004411,8/8/2022,Female,Pitre Buick-Pontiac-Gmc of Scottsdale,Pasco,Acura,RL,SUV,Red,Manual,Overhead Camshaft,4350000,34000,99301-3882,7758486,
C_CND_016259,7/25/2023,Male,Star Enterprises Inc,Pasco,Chevrolet,Malibu,SUV,Pale White,Auto,DoubleÂ Overhead Camshaft,4350000,25000,99301-3882,7472918,
C_CND_014634,6/10/2023,Male,C & M Motors Inc,Aurora,Mitsubishi,Montero Sport,Hardtop,Pale White,Auto,DoubleÂ Overhead Camshaft,4300000,39000,60504-7114,7438247,
C_CND_018592,9/19/2023,Female,Star Enterprises Inc,Middletown,Lexus,LS400,Sedan,Black,Auto,DoubleÂ Overhead Camshaft,4300000,39000,99301-3882,7176472,
C_CND_015048,6/20/2023,Female,U-Haul CO,Austin,Volkswagen,Passat,Hatchback,Black,Auto,DoubleÂ Overhead Camshaft,4300000,9000,78758-7841,7764578,
C_CND_004296,8/2/2022,Female,Tri-State Mack Inc,Scottsdale,Dodge,Ram Pickup,SUV,Pale White,Manual,Overhead Camshaft,4260000,16000,85257-3102,8823329,
C_CND_008717,11/26/2022,Male,Chrysler of Tri-Cities,Pasco,Mitsubishi,Montero Sport,Hatchback,Black,Manual,Overhead Camshaft,4250000,42000,99301-3882,8384466,
C_CND_014992,6/18/2023,Male,Rabun Used Car Sales,Scottsdale,Oldsmobile,Bravada,Hatchback,Black,Manual,Overhead Camshaft,4250000,36000,85257-3102,7583104,
C_CND_013342,5/3/2023,Male,Saab-Belle Dodge,Aurora,Cadillac,Escalade,Sedan,Black,Manual,Overhead Camshaft,4240000,34001,60504-7114,7924998,
C_CND_001258,3/28/2022,Male,Star Enterprises Inc,Pasco,Chevrolet,Malibu,Hatchback,Pale White,Manual,Overhead Camshaft,4225000,41500,99301-3882,7623500,
C_CND_022929,12/12/2023,Male,Ryder Truck Rental and Leasing,Middletown,Porsche,Carrera Coupe,Hardtop,Black,Manual,Overhead Camshaft,4200000,16001,06457-3834,7003102,
C_CND_002310,5/8/2022,Male,Progressive Shippers Cooperative Association No,Janesville,Mercedes-B,E-Class,Sedan,Red,Auto,DoubleÂ Overhead Camshaft,4200000,15001,53546-9427,7862362,
C_CND_023770,12/29/2023,Male,Suburban Ford,Austin,Volkswagen,GTI,SUV,Pale White,Auto,DoubleÂ Overhead Camshaft,4111000,20100,53546-9427,8363552,
C_CND_002763,5/29/2022,Female,Enterprise Rent A Car,Aurora,Volkswagen,GTI,SUV,Black,Manual,Overhead Camshaft,4110000,25000,60504-7114,6980591,
C_CND_005344,9/7/2022,Male,Ryder Truck Rental and Leasing,Middletown,BMW,528i,SUV,Pale White,Auto,DoubleÂ Overhead Camshaft,4100000,62000,06457-3834,8108509,
C_CND_001303,3/29/2022,Female,Race Car Help,Janesville,Oldsmobile,Cutlass,Sedan,Pale White,Auto,DoubleÂ Overhead Camshaft,4100000,46000,78758-7841,8326709,
C_CND_000049,1/3/2022,Male,Race Car Help,Austin,Nissan,Altima,Hatchback,Pale White,Auto,DoubleÂ Overhead Camshaft,4060000,20000,78758-7841,7117432,
C_CND_009555,12/10/2022,Male,Enterprise Rent A Car,Aurora,Mercedes-B,SLK,Passenger,Black,Manual,Overhead Camshaft,4050000,26001,60504-7114,8934533,
C_CND_020926,11/12/2023,Male,Scrivener Performance Engineering,Greenville,Nissan,Pathfinder,SUV,Pale White,Auto,DoubleÂ Overhead Camshaft,4050000,21001,38701-8047,7465563,
C_CND_019131,9/30/2023,Male,Progressive Shippers Cooperative Association No,Janesville,Dodge,Ram Pickup,Hardtop,Pale White,Manual,Overhead Camshaft,4050000,20001,53546-9427,7618216,
C_CND_022771,12/11/2023,Male,Clay Johnson Auto Sales,Austin,Plymouth,Voyager,Passenger,Pale White,Auto,DoubleÂ Overhead Camshaft,4020000,22001,78758-7841,8248210,
C_CND_009817,12/13/2022,Male,New Castle Ford Lincoln Mercury,Aurora,Mitsubishi,Diamante,Hatchback,Black,Manual,Overhead Camshaft,4011000,49101,60504-7114,7462739,
C_CND_011722,3/8/2023,Male,Saab-Belle Dodge,Aurora,Saturn,SC,Hardtop,Black,Auto,DoubleÂ Overhead Camshaft,4005000,33500,60504-7114,6133749,
C_CND_016244,7/25/2023,Male,Rabun Used Car Sales,Scottsdale,Jeep,Cherokee,Sedan,Pale White,Auto,DoubleÂ Overhead Camshaft,4000000,36000,85257-3102,7408512,
C_CND_004886,8/24/2022,Male,Diehl Motor CO Inc,Middletown,Audi,A6,SUV,Black,Auto,DoubleÂ Overhead Camshaft,4000000,27001,06457-3834,8855199,
C_CND_004260,7/31/2022,Male,Progressive Shippers Cooperative Association No,Janesville,Subaru,Outback,SUV,Pale White,Auto,DoubleÂ Overhead Camshaft,4000000,19000,53546-9427,8082715,
C_CND_005578,9/13/2022,Male,Rabun Used Car Sales,Scottsdale,Mercedes-B,C-Class,Hatchback,Pale White,Manual,Overhead Camshaft,4000000,17000,85257-3102,8773170,
C_CND_008246,11/17/2022,Male,Saab-Belle Dodge,Aurora,Jeep,Wrangler,Hatchback,Red,Manual,Overhead Camshaft,4000000,13000,60504-7114,6669235,
C_CND_018734,9/22/2023,Male,Star Enterprises Inc,Middletown,Toyota,Sienna,Passenger,Black,Manual,Overhead Camshaft,4000000,12001,99301-3882,6271185,
C_CND_014939,6/17/2023,Male,McKinney Dodge Chrysler Jeep,Scottsdale,Chrysler,300M,SUV,Black,Auto,DoubleÂ Overhead Camshaft,3950000,26000,85257-3102,6919172,
C_CND_015398,7/1/2023,Male,Suburban Ford,Janesville,Acura,RL,SUV,Pale White,Manual,Overhead Camshaft,3935000,31501,53546-9427,8494763,
C_CND_021025,11/13/2023,Female,New Castle Ford Lincoln Mercury,Aurora,Subaru,Outback,SUV,Pale White,Auto,DoubleÂ Overhead Camshaft,3923000,57300,60504-7114,8052533,
C_CND_005045,8/28/2022,Male,Progressive Shippers Cooperative Association No,Austin,Audi,A4,Hardtop,Black,Auto,DoubleÂ Overhead Camshaft,3923000,27300,53546-9427,7046215,
C_CND_009330,12/6/2022,Male,Saab-Belle Dodge,Aurora,Ford,Explorer,Hatchback,Pale White,Auto,DoubleÂ Overhead Camshaft,3900000,42000,60504-7114,7765739,
C_CND_015403,7/1/2023,Male,Iceberg Rentals,Janesville,Cadillac,Escalade,Sedan,Black,Manual,Overhead Camshaft,3900000,34000,53546-9427,7156284,
C_CND_003909,7/12/2022,Male,McKinney Dodge Chrysler Jeep,Scottsdale,Mercedes-B,E-Class,Sedan,Pale White,Auto,DoubleÂ Overhead Camshaft,3900000,31000,85257-3102,8032706,
C_CND_015982,7/18/2023,Male,Star Enterprises Inc,Pasco,Volkswagen,GTI,SUV,Black,Manual,Overhead Camshaft,3900000,25000,99301-3882,8721804,
C_CND_004997,8/28/2022,Female,Saab-Belle Dodge,Aurora,Jeep,Wrangler,Hatchback,Pale White,Manual,Overhead Camshaft,3900000,23000,60504-7114,7664667,
C_CND_018477,9/18/2023,Male,Classic Chevy,Scottsdale,Dodge,Durango,SUV,Black,Auto,DoubleÂ Overhead Camshaft,3900000,19001,85257-3102,6980173,
C_CND_006502,9/27/2022,Female,Ryder Truck Rental and Leasing,Austin,Nissan,Frontier,Hatchback,Pale White,Manual,Overhead Camshaft,3900000,12000,06457-3834,6538419,
C_CND_011952,3/13/2023,Male,Ryder Truck Rental and Leasing,Middletown,Mercury,Sable,Sedan,Pale White,Auto,DoubleÂ Overhead Camshaft,3860000,26001,06457-3834,6255197,
C_CND_014256,5/30/2023,Male,Race Car Help,Austin,Cadillac,Catera,Hatchback,Red,Auto,DoubleÂ Overhead Camshaft,3851000,28100,78758-7841,7746624,
C_CND_015616,7/8/2023,Female,C & M Motors Inc,Aurora,Mercury,Sable,Sedan,Pale White,Manual,Overhead Camshaft,3850000,61000,60504-7114,7329931,
C_CND_018800,9/23/2023,Female,Hatfield Volkswagen,Middletown,Mitsubishi,Diamante,Hatchback,Black,Manual,Overhead Camshaft,3850000,49001,99301-3882,8745437,
C_CND_012998,4/19/2023,Female,Chrysler Plymouth,Janesville,Chevrolet,Metro,Passenger,Red,Manual,Overhead Camshaft,3850000,37000,53546-9427,7754297,
C_CND_021050,11/14/2023,Male,Pitre Buick-Pontiac-Gmc of Scottsdale,Pasco,Volvo,S40,Sedan,Pale White,Auto,DoubleÂ Overhead Camshaft,3850000,29000,99301-3882,8490254,
C_CND_007028,10/19/2022,Male,Capitol KIA,Greenville,Nissan,Pathfinder,Hardtop,Red,Auto,DoubleÂ Overhead Camshaft,3850000,21001,38701-8047,6677520,
C_CND_019118,9/29/2023,Male,Gartner Buick Hyundai Saab,Greenville,Dodge,Durango,SUV,Black,Auto,DoubleÂ Overhead Camshaft,3850000,19000,38701-8047,6987606,
C_CND_013142,4/24/2023,Male,Gartner Buick Hyundai Saab,Greenville,Cadillac,Escalade,Sedan,Black,Manual,Overhead Camshaft,3825000,34500,38701-8047,7848860,
C_CND_010268,12/24/2022,Male,Tri-State Mack Inc,Scottsdale,Chevrolet,Metro,Passenger,Pale White,Manual,Overhead Camshaft,3825000,13501,85257-3102,6567170,
C_CND_023345,12/23/2023,Female,Buddy Storbeck's Diesel Service Inc,Middletown,Dodge,Ram Pickup,Hardtop,Pale White,Auto,DoubleÂ Overhead Camshaft,3820000,45000,06457-3834,6949289,
C_CND_014028,5/26/2023,Male,Buddy Storbeck's Diesel Service Inc,Middletown,Mitsubishi,Diamante,Hatchback,Red,Manual,Overhead Camshaft,3820000,19001,06457-3834,8606807,
C_CND_007888,11/10/2022,Male,Saab-Belle Dodge,Aurora,Pontiac,Grand Prix,Passenger,Red,Auto,DoubleÂ Overhead Camshaft,3812000,69200,60504-7114,6896735,
C_CND_015864,7/17/2023,Male,Motor Vehicle Branch Office,Austin,Mercedes-B,S-Class,SUV,Black,Auto,DoubleÂ Overhead Camshaft,3800000,39001,78758-7841,8277238,
C_CND_018419,9/17/2023,Male,Saab-Belle Dodge,Aurora,Toyota,4Runner,Sedan,Red,Auto,DoubleÂ Overhead Camshaft,3800000,35000,60504-7114,6349895,
C_CND_013197,4/28/2023,Male,Chrysler of Tri-Cities,Pasco,Chevrolet,Impala,Hatchback,Pale White,Manual,Overhead Camshaft,3800000,22000,99301-3882,7050328,
C_CND_002842,5/31/2022,Male,Ryder Truck Rental and Leasing,Middletown,Volvo,S70,Hatchback,Red,Manual,Overhead Camshaft,3800000,21001,06457-3834,7120207,
C_CND_011819,3/10/2023,Female,Saab-Belle Dodge,Aurora,Acura,RL,SUV,Red,Manual,Overhead Camshaft,3800000,17000,60504-7114,7247461,
C_CND_010109,12/19/2022,Male,Progressive Shippers Cooperative Association No,Middletown,Dodge,Stratus,Hatchback,Pale White,Manual,Overhead Camshaft,3778000,25800,53546-9427,7076802,
C_CND_002015,4/26/2022,Female,Nebo Chevrolet,Middletown,Plymouth,Prowler,Hatchback,Red,Manual,Overhead Camshaft,3775000,71501,06457-3834,7823212,
C_CND_008667,11/24/2022,Male,Suburban Ford,Janesville,Mercedes-B,CL500,SUV,Black,Manual,Overhead Camshaft,3775000,22500,53546-9427,7151858,
C_CND_000906,3/14/2022,Male,Capitol KIA,Greenville,Dodge,Ram Pickup,SUV,Black,Manual,Overhead Camshaft,3755000,19500,38701-8047,6407820,
C_CND_009534,12/10/2022,Male,Progressive Shippers Cooperative Association No,Janesville,Cadillac,Eldorado,Passenger,Pale White,Auto,DoubleÂ Overhead Camshaft,3751000,31100,53546-9427,6140884,
C_CND_021082,11/14/2023,Male,Pars Auto Sales,Greenville,Honda,Passport,SUV,Pale White,Manual,Overhead Camshaft,3750000,27000,38701-8047,6314825,
C_CND_008648,11/23/2022,Male,Iceberg Rentals,Janesville,Honda,CR-V,SUV,Pale White,Auto,DoubleÂ Overhead Camshaft,3750000,22000,53546-9427,6352430,
C_CND_007769,11/8/2022,Female,Capitol KIA,Austin,Toyota,Corolla,Passenger,Red,Manual,Overhead Camshaft,3750000,14000,38701-8047,8535942,
C_CND_017795,9/5/2023,Male,Scrivener Performance Engineering,Greenville,Mercury,Villager,Passenger,Pale White,Manual,Overhead Camshaft,3750000,14000,38701-8047,6634210,
C_CND_011108,1/31/2023,Male,Classic Chevy,Scottsdale,Saturn,LS,Sedan,Pale White,Auto,DoubleÂ Overhead Camshaft,3730000,51000,85257-3102,6131219,
C_CND_015678,7/10/2023,Male,New Castle Ford Lincoln Mercury,Aurora,Dodge,Durango,SUV,Pale White,Manual,Overhead Camshaft,3725000,27500,60504-7114,7639968,
C_CND_002593,5/23/2022,Female,McKinney Dodge Chrysler Jeep,Austin,Volvo,S70,Hatchback,Black,Auto,DoubleÂ Overhead Camshaft,3710000,26000,85257-3102,6008819,
C_CND_017024,8/23/2023,Male,Rabun Used Car Sales,Austin,Nissan,Pathfinder,SUV,Pale White,Auto,DoubleÂ Overhead Camshaft,3705000,75501,85257-3102,7627605,
C_CND_021098,11/14/2023,Male,Star Enterprises Inc,Pasco,Chrysler,Sebring Coupe,Sedan,Pale White,Auto,DoubleÂ Overhead Camshaft,3700000,46000,99301-3882,6609089,
C_CND_021749,11/26/2023,Male,Nebo Chevrolet,Middletown,Oldsmobile,Cutlass,Sedan,Pale White,Auto,DoubleÂ Overhead Camshaft,3700000,41001,06457-3834,6287491,
C_CND_008666,11/24/2022,Male,Star Enterprises Inc,Pasco,Lexus,ES300,Hatchback,Pale White,Auto,DoubleÂ Overhead Camshaft,3700000,27000,99301-3882,8440119,
C_CND_009319,12/6/2022,Male,Iceberg Rentals,Janesville,Cadillac,Escalade,Sedan,Black,Auto,DoubleÂ Overhead Camshaft,3700000,26000,53546-9427,6209319,
C_CND_011385,2/16/2023,Female,Star Enterprises Inc,Pasco,Acura,RL,SUV,Pale White,Manual,Overhead Camshaft,3700000,17000,99301-3882,8266142,
C_CND_008661,11/24/2022,Male,Rabun Used Car Sales,Scottsdale,Toyota,Land Cruiser,SUV,Red,Auto,DoubleÂ Overhead Camshaft,3695000,12500,85257-3102,6923162,
C_CND_005277,9/6/2022,Male,C & M Motors Inc,Aurora,Saab,3-Sep,Sedan,Black,Auto,DoubleÂ Overhead Camshaft,3690000,26000,60504-7114,8411628,
C_CND_021324,11/20/2023,Male,Hatfield Volkswagen,Pasco,Mercedes-B,CL500,SUV,Pale White,Manual,Overhead Camshaft,3680000,29001,99301-3882,7942317,
C_CND_002274,5/7/2022,Male,Hatfield Volkswagen,Pasco,Volvo,S40,Sedan,Red,Manual,Overhead Camshaft,3660000,17000,99301-3882,6210575,
C_CND_011969,3/13/2023,Male,Rabun Used Car Sales,Scottsdale,Oldsmobile,Aurora,Passenger,Red,Manual,Overhead Camshaft,3650000,34000,85257-3102,6659194,
C_CND_015590,7/8/2023,Male,Buddy Storbeck's Diesel Service Inc,Middletown,Mitsubishi,3000GT,Sedan,Pale White,Auto,DoubleÂ Overhead Camshaft,3650000,19001,06457-3834,8875173,
C_CND_018117,9/11/2023,Male,Pitre Buick-Pontiac-Gmc of Scottsdale,Pasco,Chevrolet,Metro,Passenger,Pale White,Manual,Overhead Camshaft,3650000,13001,99301-3882,6015467,
C_CND_002112,4/30/2022,Female,Star Enterprises Inc,Pasco,Volkswagen,Passat,Hatchback,Pale White,Manual,Overhead Camshaft,3650000,12000,99301-3882,7635129,
C_CND_002309,5/8/2022,Male,Pitre Buick-Pontiac-Gmc of Scottsdale,Pasco,Dodge,Viper,SUV,Red,Auto,DoubleÂ Overhead Camshaft,3625000,41501,99301-3882,7569565,
